Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,PriceDropFromPeakPct,TradeResult,Profit_SOL,RunningTotal_SOL
4b8NRwZtr6sStA4NcJ8ebk9c5x5jZaozRSKg7FmTk2SBU8dTWokVDFq7BMkjoYQaXHSiuWZdaVQ13vdysdAxRBHp,[object Object],2025-05-20T15:21:30.000Z,30,5,16,59,341,151,0,Moonshot (Win),0.2,4.299999999999999
aZeoZWcSeTjxpgr2aBRP2uiR3bfebPJm1e1uNgy4PQTDSSqjUXEsQzdrHXnRLbbv6E6creA9YsyUEtY34eBBin2,[object Object],2025-05-20T15:21:30.000Z,95,1,3,58,275,22,2,Skipped,0,4.299999999999999
4L2Kv2D4c5w41GJpacRZDWCMKUjdo8xjqd7EEzFkPhxf9t53BDQrBDj4CU6yrEJi7aRiCJ22VJVm61T4YDX4rRaL,[object Object],2025-05-20T15:21:30.000Z,55,2,23,5,126,125,39,Skipped,0,4.299999999999999
KWHo98f5Uo1JuCVixVFqnxF69sCrHGkNZcaqkZWiCspTaZjXCmXscX9UxiyYbMEEA69JJwBuw2it5HubAXzHcqr,[object Object],2025-05-20T15:21:30.000Z,99,8,3,52,100,149,15,Partial Exit (Win),0.05,4.349999999999999
2RJH4xHG2RKHggbcJg2jMQH3a2At9mLbeA65XXawCzhFtEKGgHNfbhjokDyRgJEGQQNuNWqJvQTGBZDPFUWUVBaq,[object Object],2025-05-20T15:21:30.000Z,72,1,3,83,71,230,17,Skipped,0,4.349999999999999
51t9XYw5ppuBKewxnFoG2FEqXdN6micfDpuXvac9sSCu1tWmM89ZQBaCGaTQhza4AkyFzfXGo7W5VaHi2h33su1F,[object Object],2025-05-20T15:21:30.000Z,55,3,14,83,264,85,18,Skipped,0,4.349999999999999
27SUgLyvVjZchzw71VeD6Luoevf8Tii3McLCXSzYWD68WJ3BCVuNuyW9HcMEfiyanGj7HAHwBRSe7CGnGBgbADiZ,[object Object],2025-05-20T15:21:30.000Z,86,4,21,83,58,120,18,Skipped,0,4.349999999999999
zRKkab7NmfUw6YBSQhTFku82XVFccZpnzXTESExpXinrk18rRUHhXBZ9VcQsVyyKJwLmgskicuyuAAN2be6S9et,[object Object],2025-05-20T15:21:30.000Z,66,8,16,83,25,199,10,Partial Exit (Win),0.05,4.399999999999999
41799s7fEPKMgntSMiz1Wa7M47RqDof8zaRJiDD2tnKKU2EqgpkC8Kx6h2X3AZpVwFDBZCZj1qnsbA7YHQtYK4Yx,[object Object],2025-05-20T15:21:30.000Z,0,6,2,54,448,47,10,Partial Exit (Win),0.05,4.449999999999998
5sKiaXPVBmd5GWEkbH2JPN9c6YAKmRWz4fniLYW3dew6XrAf15nGTzjRag3GHHa5acvnca67NV4VVxrw9yA32UQe,[object Object],2025-05-20T15:21:30.000Z,75,2,16,36,236,115,21,Skipped,0,4.449999999999998
3yKqJijbygiVEBRZ9h76EJVGWuPPHExjXuUimdoiK5SiyNP8PciyjwtMYSZpLYPF1LKmU8F8rP1RYprDwRaQ5ZNH,[object Object],2025-05-20T15:21:30.000Z,67,2,11,74,179,100,15,Skipped,0,4.449999999999998
3YckQTFk6u1HWBiNz1PhoquqAmQf6EQVpw7sZnhRSwm7TtyEp1w14sHfBKdYUVmzs3Kf531HZ4sChgdnJrE2T1Ju,[object Object],2025-05-20T15:21:30.000Z,94,6,28,92,20,50,15,Partial Exit (Win),0.05,4.499999999999998
2EMJWJgEiKEPLYEqP1vEWPTWqGd8PaZsUULDqe2Y5vj3sKnuRjRkPBTHyK8xDacgEYJMGWUyjq5vTbxoYf2eXhyQ,[object Object],2025-05-20T15:21:30.000Z,4,3,7,26,427,77,7,Skipped,0,4.499999999999998
uiQgSkwkcH2ia21ccMQdLRitgh5uxRw1xfVJ7gbSYom7oFq7eBTpXGU7pMqHpdMkBpgQBnJtKVvr5ScvXsTzJg7,[object Object],2025-05-20T15:21:30.000Z,33,0,2,42,225,288,18,Skipped,0,4.499999999999998
24iJZ9HeGs9TmC9ec3HpwPCNq5rtPuA69PLeZqrtuMH7rGsYeUCcKemZWBm5uAkD3JgmMgHoQnSiqp6DpuZrz511,[object Object],2025-05-20T15:21:30.000Z,2,6,1,11,161,85,32,Partial Exit (Win),0.05,4.549999999999998
4yJvFjXFmH927avmvzuEX1YXmTUJ7YXWupNd5rrMsoKXmVT8bjjDwTjY7VSxPkzmBCyZ2sM7dVShC3vswX9tZ1iA,[object Object],2025-05-20T15:21:30.000Z,69,7,6,43,468,297,13,Moonshot (Win),0.2,4.749999999999998
5zbRf6RGF5RJ2tZMsj6E7DpEFhsT4nJQTCuZmzRkc7A752WagEbgHfQb8o3SQYfKFCiUUp1VkChYNT7eRRn976k8,[object Object],2025-05-20T15:21:30.000Z,26,5,18,75,191,165,22,Partial Exit (Win),0.05,4.799999999999998
5JF6aoUaWcFCARkLMknRFKUEyK12AcnSYhhgtF31KacnGSZf7xARLZnfVTDABRA2cPFVBemBFaB2evmEjP5JLMf,[object Object],2025-05-20T15:21:30.000Z,64,3,18,97,368,167,33,Skipped,0,4.799999999999998
cj8UCjK7PsN5orVt1mkV99wHGrTqyFKWQZWBuRs968jxP2toW4ZwUKXC7apZXmUfR2J5vDy1wrGWnh8K3hj4J5k,[object Object],2025-05-20T15:21:30.000Z,4,9,28,15,460,73,35,Partial Exit (Win),0.05,4.849999999999998
sdGzQgcat4go9SmvgvN78Fh8tX7SvCoq384VSBedTz7NgCctiVrse9qJziNUqn4WXi3SPGEoLoDSEm2gXPtTYWT,[object Object],2025-05-20T15:21:30.000Z,72,4,14,59,119,241,38,Skipped,0,4.849999999999998
vGsJVqvhp5MwtvzbTuZTYGQLJuqWavLn4FZxmvTm7aadVzUDuumYDPGNz2YCGHdXue4r3WQDfKn4DpGnsAN3yNb,[object Object],2025-05-20T15:21:30.000Z,36,5,12,64,448,123,33,Partial Exit (Win),0.05,4.899999999999998
4WRdFxkzDZonJWP8uDy7FDdsGQ7n9u4GfQDcJBtWbRvBUMhZweFaPuzSGMteWUkRjgHHjyPJP58UHGmAsURj6bEk,[object Object],2025-05-20T15:21:30.000Z,95,2,21,7,445,46,38,Skipped,0,4.899999999999998
4beR4tM15sKuKYnWQWNBn1wMpa2mWNuPwTh35HTimLHYbjVL5KSgXGmCwiKRz89NB6gGpa9brZXcc73oJZmSA7Q8,[object Object],2025-05-20T15:21:30.000Z,72,6,5,62,136,253,10,Partial Exit (Win),0.05,4.9499999999999975
4qq2MJV5mpxX3AM8gCwsze2ca6hzXwurBzq5Duu6DfUE5fh4y7MfkSGYKj8z3bNkC84GVoxNUh2BPPf9GFf6hhhA,[object Object],2025-05-20T15:21:30.000Z,83,6,7,83,217,32,1,Partial Exit (Win),0.05,4.999999999999997
5LupySo3hKsvucpRHtxWMwtyTi1Yzpv4iwwbjc83RwFfek56WDYMgE5FcykZy8q3r1vsbeWYaLts5uLMGvrUAee2,[object Object],2025-05-20T15:21:30.000Z,65,7,11,12,331,50,28,Partial Exit (Win),0.05,5.049999999999997
4UPd9H62c1J1jyNKu8nDyte8VdKradB5uJhBzJZrCUC9owHYCzNLP2coEVnkATNzDEWBGu6FqekZkEx6AJXhPiyg,[object Object],2025-05-20T15:21:30.000Z,54,4,10,11,450,263,10,Skipped,0,5.049999999999997
5857SQbHqCVyoW2U6UEh7EUouDdxNxz1Z4uAWT7BpQzrsW3c79aAKUhpNJn6YfcAeQq1bXWZYJxtCRaZcgx3oQJ2,[object Object],2025-05-20T15:21:30.000Z,61,9,21,40,194,8,33,Partial Exit (Win),0.05,5.099999999999997
3zqsBAGZ8xDSEsVKKrQvBDj8JvEtVcCh1CHtN95yNgfqN2PV43Z9BRweN5X5Kq7qjVAAUNkgaQ1VZy422E672aTV,[object Object],2025-05-20T15:21:30.000Z,74,8,21,94,55,227,33,Partial Exit (Win),0.05,5.149999999999997
2axxiRJDyHx35xfgHXmddk14KqXFfTtrVxSaStoEBPgzaZdrB18Z1XcRGc8m6oSknafzPivorjpycW79SVFz5ryC,[object Object],2025-05-20T15:21:30.000Z,88,1,4,64,215,284,0,Skipped,0,5.149999999999997
4DULaNjtaWL1gyjcUdwte6BLnd1yjYAqXtxsFqFLLwuPKqsu5MJmSAggPXXazmtthgVShJf2ALikhnFfiYvus69G,[object Object],2025-05-20T15:21:30.000Z,49,5,10,70,30,92,28,Partial Exit (Win),0.05,5.199999999999997
43v13CSe1Sfez4oNGPZudbsMUGbffHRtKACPBfsN5hA1QNVzm3ik9YjRuMy5Seixoo5gJXuqCPPMbHydRm7SMPa8,[object Object],2025-05-20T15:21:30.000Z,86,5,18,29,276,155,35,Partial Exit (Win),0.05,5.2499999999999964
2EZhoESjcf1S5rQZSASgLtsLHChCHhzr3HGhu66CcykAS4rU2hpAFTs5soTgKNbNTmWj7rd8e541f3mKt7ykyu2G,[object Object],2025-05-20T15:21:30.000Z,19,4,9,66,320,208,15,Skipped,0,5.2499999999999964
3iJbRwX1vz3yo5QqWZTaruxE7oDb2EUTFNGj1iRtC7Rj8MxgRUgzYtQByps1GYcQqxBjWAMS5E6Cw5TSanEimuLL,[object Object],2025-05-20T15:21:30.000Z,64,0,8,64,423,277,35,Skipped,0,5.2499999999999964
2v4keKvbQghRQT1GWAxFEUemMs8RbHbJfp9hkZWo7icNsn9AappXieJWyKxggRSBvqCKvTLDBPUMFsA7Uc94jLQn,[object Object],2025-05-20T15:21:30.000Z,62,4,22,22,389,13,15,Skipped,0,5.2499999999999964
LmGWMSjGKApwxaHT9aJtqKcPraee6cgNWkMFzVSWAGmd1axFGxeLL2cNe7jfKdZCy64Wphx7CF4iyUN8rGWD9mb,[object Object],2025-05-20T15:21:30.000Z,55,2,26,52,387,159,7,Skipped,0,5.2499999999999964
4vmTtD6jC9Ak69qYCmanwTsFwu1pXCKfacGhbqq5pxVSPEhngsRp4m7w8yrdAGN7m9VXpkbN9ZNsMQWzUpz37UQW,[object Object],2025-05-20T15:21:30.000Z,6,3,0,82,3,93,15,Skipped,0,5.2499999999999964
3VLXyuEaY2vztnmXonBfQn6NkmYv9DnGYSuE9eu93aHAA1RqV8wZzcg2vSUerUnhtXTXq8NrMfXr63AYjizB7jHC,[object Object],2025-05-20T15:21:30.000Z,16,9,1,16,237,83,1,Partial Exit (Win),0.05,5.299999999999996
oFjP9tREDvTQoSeyTQ88WCmpJhFjvTg4y8G8f1PXXE2C8wFzxpZ1ihPovyPKxE6oZPTT5t1JXixJcu2pfGypMzL,[object Object],2025-05-20T15:21:29.000Z,67,1,18,9,413,178,21,Skipped,0,5.299999999999996
2dzqyBM3bhYn5Yrm8KQQnPS5nKarSTpfAeUhXCMUdapAByFb2simePwmKQ1PWp15NFkiqMTZV1XRnUw1YQfm3utQ,[object Object],2025-05-20T15:21:29.000Z,10,9,10,22,233,16,10,Partial Exit (Win),0.05,5.349999999999996
5Bru9ZG3ijqv9gzMfXdZ6x7hvJQ77xx73mXAdCVo5bSzWtvZcePVSowyQi6B2wuKcFSqgg8ecTj6xNnpYfE9NkK5,[object Object],2025-05-20T15:21:29.000Z,13,4,27,45,94,184,16,Skipped,0,5.349999999999996
2a376TcB7T6FhrADa8aLzEVn45NXXzjHUCZH5hZB14bvJ52p4TzJyEEUQ4q1FYmh5EkxrQrT5vpCVnn82hjqBvKr,[object Object],2025-05-20T15:21:29.000Z,40,1,4,23,384,62,9,Skipped,0,5.349999999999996
4ossCpmZrpnomBzQFmP5pU4MHf1WZuY5mex2umWNdkNSsuTVT4X6ZazR1jTVazFpPrQwL7ktSeFhMfwUSEQKMrbP,[object Object],2025-05-20T15:21:29.000Z,82,4,18,7,178,252,21,Skipped,0,5.349999999999996
3VjoXwUWZJndpR2Uv5B5qoVprz3NucFkrYMBd8daKjwLt3BkLYitaaYJX5HEhPE7oQxxhoBtrL5zmPb2EB9AteQG,[object Object],2025-05-20T15:21:29.000Z,16,3,16,27,302,97,1,Skipped,0,5.349999999999996
4FFmbC12W2nDUGtUmrNmtf2rexN2jfbuVkpXVv4YJVdxpvV3bjjetythD4ida9FF7DCoRLSpgPm5Vyudr8nHE3Qd,[object Object],2025-05-20T15:21:29.000Z,3,9,26,43,421,127,16,Moonshot (Win),0.2,5.549999999999996
65nueRqS8sR1FLAtxZBstnfGBoMa7yrwe12B6nASgBm6pBvLVyxUoiQSKWb4qkUnNHfv1nkKxGUGi5QY61kLiJCo,[object Object],2025-05-20T15:21:29.000Z,62,3,9,60,346,157,38,Skipped,0,5.549999999999996
29hbWZNJgTLV3Q5VUNAa1NcKUyJozxdhTQeiRhferBoLzyZT61PLbdDnwepiQe4JduHGigxFatk2ESVAgnVYnKFU,[object Object],2025-05-20T15:21:29.000Z,53,6,21,13,220,189,22,Moonshot (Win),0.2,5.7499999999999964
3GXvT9zAVvFdC3Rf1fvogf2N9PGtZJ8rh4uGkkGxDmSkMyb7RVyAHBhKonqdkMhH2ZCk43dVGrX7jbzw7nB9cqpr,[object Object],2025-05-20T15:21:29.000Z,61,2,8,13,77,178,18,Skipped,0,5.7499999999999964
57xXrhypejzL9NwEmrCfML7c9YpwehCBWD8wFrSCRvweJtXgVvE6N7hdMPrwf74cPGKe6axtLB6AVDY7CD9xTh7E,[object Object],2025-05-20T15:21:29.000Z,70,4,0,91,492,105,38,Skipped,0,5.7499999999999964
3xQcteH1pxWSSfgseTcCToW4YWXqAqV32J4BDvbzcqoeCk8yBsAePigosTeHEkqjBp1XWvmFKn4xHjWXkaAKX2HP,[object Object],2025-05-20T15:21:29.000Z,57,9,24,8,325,288,19,Moonshot (Win),0.2,5.949999999999997
4kVmo5WrC5tom7eQLGCWoDiRD1d4F2G5JZgBwkpunxirFXkvtdUSRqB9YiCTHBoHWDdp7t87ZkfbBKvhLomzyv6,[object Object],2025-05-20T15:21:29.000Z,39,5,16,93,148,246,21,Partial Exit (Win),0.05,5.9999999999999964
DwvGkNJ9mRUBWX1xjUdoryiK4xtUNTJB19h5vBLJs2sNVKNBJrXDE2f8R6Na6C5VbRZLyaw45G6oouLGEptishr,[object Object],2025-05-20T15:21:29.000Z,85,8,21,15,262,101,8,Moonshot (Win),0.2,6.199999999999997
5f5iaBXRrC4jnTywaRsCv9RnxmxzcinZPR7H2wCCAvTLySV9DwvVLGPtib5Lg1EdeujdFF3zVUBSn7xT6a9w9Jw2,[object Object],2025-05-20T15:21:29.000Z,34,9,0,93,36,240,19,Partial Exit (Win),0.05,6.2499999999999964
5M24fqqHC7L6Sg3rEpsXXK2A3Foh9kLeig3R5dpyXimRpBXpeDLoFdctvwGQZVeSNVjZbRaib1Zn2gAAryd4kKGj,[object Object],2025-05-20T15:21:29.000Z,11,7,14,50,251,112,26,Moonshot (Win),0.2,6.449999999999997
x5f2fAewLD3CND5gUW7sBQRaW9uifqne1ViyEXHuWrwi7xni3FRfSNonmCp5WDpSm4mK4GdipCvTNAZeesPFiWg,[object Object],2025-05-20T15:21:29.000Z,7,1,5,72,423,257,13,Skipped,0,6.449999999999997
Q3heEAihGDsfkMgipgBVJVM78zJ6ZSuNY6WPxC3ahM9xZtU6wgM8v6Y9qbgL77JegHojxSWT4QPp7WAmUmCW8Gt,[object Object],2025-05-20T15:21:29.000Z,84,9,15,77,3,288,39,Partial Exit (Win),0.05,6.4999999999999964
oi22GB7uMVgb4UM2aBrGZQfmKJ9iepqyEE7nBtuVXLkzjXve5vDZx2TiT2vwtvuGumTTDYVdEqPnPCPbjKWVdmH,[object Object],2025-05-20T15:21:29.000Z,38,5,3,55,314,155,9,Moonshot (Win),0.2,6.699999999999997
SkM7buo8XsSF8bUeN6QMX2kdTVrHZi6n6Xw43wEyCMT6A5n8uDbc1VXvK6JATynZxajccuWqTQfRqKQCwYCARhU,[object Object],2025-05-20T15:21:29.000Z,56,2,14,2,228,141,32,Skipped,0,6.699999999999997
4MDBNQ6Aak7QBngeRXmBPntYvZYrXTxKscRxxTsWUs4HQftj68Dbh7zFnAt4v8LKeBo4sqjeG5WoEC7Wyu3RNASD,[object Object],2025-05-20T15:21:29.000Z,30,2,24,98,311,269,27,Skipped,0,6.699999999999997
5KxBfW5boeZbEHeRSLMssjxPBNzauHhvk5anWrCdaTTBGzL5VPzi5RhwRY6CqbwDuWPErZRTKFxt4piHSvbLYpsQ,[object Object],2025-05-20T15:21:28.000Z,36,7,7,99,469,198,16,Moonshot (Win),0.2,6.899999999999997
2QVtMMhJPtwgwEJLv9DTS5bqgFn2oKQD3WNZc2PofSzSkk8V88BaUyogFFXpzithSLWCwcEbVvELTk4Ln2W1enTn,[object Object],2025-05-20T15:21:28.000Z,53,6,1,20,320,121,19,Moonshot (Win),0.2,7.099999999999997
y8Y7nz2KVeWeSJSMiyB1mGc3inzfDoX4NNDSHcVGpJ7NEzKSHjmqR7h97qiiEz6B4RE7TFnVegDjgxgkpCHmAWj,[object Object],2025-05-20T15:21:28.000Z,69,9,10,50,439,18,37,Partial Exit (Win),0.05,7.149999999999997
5qB293ULow4XLpNua9X14i9HH3BWEBFPzyZje6FmKyXxKFBPJv8PqE8NJx6eMpk48go8uRZZqpUZjm9RsHDpN9hd,[object Object],2025-05-20T15:21:28.000Z,72,0,23,79,77,72,16,Skipped,0,7.149999999999997
2Bc2Qevz4ivsfqJdHW9bxDBtNwKLuuZcRQiFpnJj8YL3tXVgP4Hf3PMLCTRtJkBenekmZbWY1PuC6zmHVu8xKf5a,[object Object],2025-05-20T15:21:28.000Z,49,4,20,12,431,41,12,Skipped,0,7.149999999999997
4DPFifpuLKa5AHQjvGMMjFzyG4ixp6GjhRcyADTBseq4Z3V2dDjGB1kMj8zgZXuqgWydfCmvds1Lsss8ANjdJj6Q,[object Object],2025-05-20T15:21:28.000Z,84,3,6,94,366,170,38,Skipped,0,7.149999999999997
wtxokgCZ8gcwiPS9KhsYCQHuS299QZ8634RHPYHUM2xCin3yNago9dk9hv6jdnNhVcCxUecETh9Vmza7VEzyCEL,[object Object],2025-05-20T15:21:28.000Z,73,3,4,44,127,1,11,Skipped,0,7.149999999999997
5v5cnTN8LHSQJL8KBSifXUrTVe769zvBkQUgrT21qZ8fdXJSYXTuQFpFdQj7qjdoBUbVe8n6xc5h7j6A6L846Sbt,[object Object],2025-05-20T15:21:28.000Z,6,2,4,35,213,142,18,Skipped,0,7.149999999999997
XKCs78oHxV2WuFE3iaq4EiBZsxLNdctZVn12QxwwqqKZh9KVk2XuYWkV23EbhHvawG98dqwvM5u2K63QGmUPRyN,[object Object],2025-05-20T15:21:28.000Z,89,7,27,74,276,40,11,Partial Exit (Win),0.05,7.199999999999997
2rBtuEe9vKX3ZTpSFpVs3qbSBKNzDKtosTT8vfvwpKajtWC4gU9ZYmnnJPrRPMjahmoDqpjL8U1Q2xWsj5NbnTvK,[object Object],2025-05-20T15:21:28.000Z,38,5,1,26,119,144,27,Partial Exit (Win),0.05,7.2499999999999964
4B64xZRKE8d7jAuJqMwTdaAWz1yTAJr95aGrWV8fqQJrL5VLGzXynPxU5qaThyNZVEUWNoeHXfkrKngkmwBR7rz5,[object Object],2025-05-20T15:21:28.000Z,61,3,24,23,10,220,12,Skipped,0,7.2499999999999964
4QaK5mA8wQwLqM3MgqRXQfknfF2BdMsuxjSQAAfhK4vmQdRJtyHVzscGsBs2XSbeZWqtDQrznnJU1unPVxp8SE8h,[object Object],2025-05-20T15:21:28.000Z,84,2,28,95,437,248,20,Skipped,0,7.2499999999999964
qA1AeacwfLJx87emMf869NqfUodmQPBWKY8We8BvJUhyXPSohJJPuC4hnhy2DasVfjjw1wvkWctytJLMEc2w8nv,[object Object],2025-05-20T15:21:28.000Z,31,7,6,27,315,99,2,Moonshot (Win),0.2,7.449999999999997
2cbYf1LwutwvL9DBjJ26SersHZupvGiW3xzoMhmJxw4Rq4NpZLgA7mQEDgkEmWbePaaHWxYXyvr9Wxgz6yjtKQvG,[object Object],2025-05-20T15:21:28.000Z,82,7,26,45,289,15,20,Partial Exit (Win),0.05,7.4999999999999964
47C9ohBRexSwtNUMHSnoVtUZX4EL86RVYffWg87LXPececmhTDTNhQyTp4W6pcNv9cuv4o4BvRy6QQS2usBsykBS,[object Object],2025-05-20T15:21:28.000Z,97,0,21,35,342,16,27,Skipped,0,7.4999999999999964
4WKeLKhzgd2sZbwgqX23ALxfKcfBP77wkVFDLopBsX2iKZ4ENN77B28qTMHPwidhTb6DboWtEBYvwWWMUcPpFFXh,[object Object],2025-05-20T15:21:28.000Z,63,4,6,32,158,24,35,Skipped,0,7.4999999999999964
3dbDZCXrykhVxdTZfvPdbWk5CyBjGr9AKnS6WAPS3nkDdqaD71Bg5NFk7UKwGeF4FuVLqe8iHrwVq48q1VGDJoX3,[object Object],2025-05-20T15:21:28.000Z,20,5,0,38,9,72,9,Partial Exit (Win),0.05,7.549999999999996
5nXNxxcZb4Yd5G5H2LQU2ShMug9Sz8ySWKWMFkH9ejMqYYfnCnQvJwCPES2dnVCBoVu2ovS1gpqwnZRptBDYtaE4,[object Object],2025-05-20T15:21:28.000Z,30,6,17,94,366,268,21,Moonshot (Win),0.2,7.7499999999999964
eZdLYUKqi3z9vdzjwPkmd3kfu9fgFZVX6d77CbdNCX3janrBYGv16npM7hgfVYfohMXJyJDpbnxY72s9vh4ACja,[object Object],2025-05-20T15:21:28.000Z,55,1,24,29,425,166,32,Skipped,0,7.7499999999999964
5vUZut6DTV2YqwE9aqEByTreyvEiXD9mFtyLaLxmmDQtBrgUp4xWKj7CKap6TgSGummgC88hWPtEhJBojYGD8NPT,[object Object],2025-05-20T15:21:28.000Z,67,7,18,36,140,241,6,Partial Exit (Win),0.05,7.799999999999996
3zw1GT3CbRRaVHnoZ4gVveHBXtcKvY1xgEEx28WFN8aL2Di82JLeMaV6XLu3paS9R2nwZjaxX7DzHZyHsvq9Hzu3,[object Object],2025-05-20T15:21:28.000Z,77,0,3,26,278,69,20,Skipped,0,7.799999999999996
9S78mHhVSkMgVPCAobGoAA2ptYwptJk6DCNtCzfLrgokBvNgJb9zjfuJCxxZ9oS7aNofxJmK58fWL9RLDBgjYXS,[object Object],2025-05-20T15:21:28.000Z,81,2,25,97,384,64,14,Skipped,0,7.799999999999996
qGNuzeaCHL3Tp1vAsFZHNzij9W8Pz5HRdRmBdCUaCecHXGvxniUhUB9dkBnf7RbcaSpwQtE6aP3cZATZ4jPeKFr,[object Object],2025-05-20T15:21:28.000Z,33,3,21,30,316,228,24,Skipped,0,7.799999999999996
gV2cg1cu9wyt7QkLCDLkBUh8JVohvbetPvsMFFgAJgRCLFwVi8HiScaNH2ycFEUZuSHGPHAY11qRVEKGkoqETrw,[object Object],2025-05-20T15:21:28.000Z,93,7,27,95,278,260,26,Moonshot (Win),0.2,7.9999999999999964
5oQr2z9nUtFc2gMKTnrZ3GTDphjNVL9bN4UWzD1cTvYHwp9XGP4qDZCzKz3THSZfr6uA4VdUiSy2nPpBQ1axvUG5,[object Object],2025-05-20T15:21:28.000Z,13,6,25,97,113,51,9,Partial Exit (Win),0.05,8.049999999999997
3P8WNqdZprNCrXrfCZr2g11HpFfZmchh7WytDasZSTHCTeDce2LLNHSaChLBUXBb9ieWLCj1WbEQGfE95PFrocxb,[object Object],2025-05-20T15:21:28.000Z,19,3,17,19,97,8,29,Skipped,0,8.049999999999997
3mFC19RKf24aU1FvqBUb6WSwiUBbbmLLdpJY5vMZSFrWJgNA6rpmWXjv3cvyUqFEoJ4Z5YsL3xU8PqWGHR4UGLLb,[object Object],2025-05-20T15:21:28.000Z,22,7,21,30,310,138,30,Partial Exit (Win),0.05,8.099999999999998
3ccnqhQ8kyq8ynW8fHru3wFKfZzM26zT3d8BHxJa46XRuWWeeLQ2TqCebi9Lkx26QgF3HBZvbSqFwWmatBvLYKBK,[object Object],2025-05-20T15:21:28.000Z,31,6,3,45,498,73,0,Partial Exit (Win),0.05,8.149999999999999
64gcBDr8DXYhGf8jkeFGBfCqWubv7J7B1Uzu9wtLXkBeq4zANFgUQwHhd7CxD5PuHpmfdphU1kMZXzozrPxwnTGs,[object Object],2025-05-20T15:21:28.000Z,39,7,5,8,296,27,0,Partial Exit (Win),0.05,8.2
rCHfE11CpiTuF79QeLQQjfuna3vazk7NwEhxPoK9Wsu6aJaUSebMPbRgnUGdU3iBJjAFr9Q6uuwHard1sJoBvXv,[object Object],2025-05-20T15:21:28.000Z,23,5,9,1,437,190,32,Partial Exit (Win),0.05,8.25
5CyeXiMtBEcTC99k7j2j8N6y3m6kYtkaBpmpqEMXj3mjyEy4RTqdyCYCU7essoxUmzrEmiYH5aiCoLQPoazcytqd,[object Object],2025-05-20T15:21:28.000Z,16,2,10,31,350,245,7,Skipped,0,8.25
oAufSGPU2xZ2buS7izNKQ9uFXrYeCQfRkV9ce76Rrd4avLRDFwfZUUtqs4QB5j8MdK5J4t7mWsFFML9BT2Zh4nG,[object Object],2025-05-20T15:21:28.000Z,71,4,25,38,145,206,2,Skipped,0,8.25
4HuaUGzFqTiuDLrU3YYSu1ex19Gziof7tDoMunj8pic1hqyK3KeGC6CAgfm9LeggV15yKS6MCkMsfeVRa9umxpTr,[object Object],2025-05-20T15:21:28.000Z,35,2,27,10,486,275,15,Skipped,0,8.25
2RBcTyaN9RcTXYHqWvsBwB7kef2memijrJQ9sQYASf3xqizJs8AEHq4xBsafW9ViBPg38fcqpDT7SrbuWZz9gURT,[object Object],2025-05-20T15:21:28.000Z,42,4,7,86,162,65,24,Skipped,0,8.25
3CquirGQ9btsTFJu2xfDFuYXY1rkHZfCsjcE8mcv5AUC4dbLbaxB6wrBdisS5gLA9ECQUGHBhCVXTwp5uEynPkLv,[object Object],2025-05-20T15:21:28.000Z,38,4,17,80,344,267,23,Skipped,0,8.25
5214yzuM71k4Wb3gj2Fa3TUDcqqePfZSHVe7eukNPLepAjKPQT19g8jTLpRcvTSD4wy2skKTnWH2QFP3KyMoQFvK,[object Object],2025-05-20T15:21:28.000Z,70,5,25,98,468,244,13,Moonshot (Win),0.2,8.45
273yqTzPe7VPqrRYABCRkiXJEzdRFKg7Pu6TfG821EM5rcQxKCxuFVeehVQn17Mo27sba72zABS7AF5JRCzoZyDs,[object Object],2025-05-20T15:21:28.000Z,20,3,13,88,227,195,34,Skipped,0,8.45
3HEAYjW5uuoyV7Jr1bj3btapowEXvdm2QmAeQZJdA9PTcb93eFHEJv8WnMcEqwfXkRjg8TKYbQwjZ7v321UUPnrT,[object Object],2025-05-20T15:21:28.000Z,10,2,0,14,168,283,24,Skipped,0,8.45
FM1tZdBjoNXeDU2iw5Xw1pAK7dFXoDNBCyzMsnSXRerXZTdkD7gcC7phEEgXJR6MisBC35yxaqEjHKyXkR7875P,[object Object],2025-05-20T15:21:27.000Z,29,3,12,10,129,195,25,Skipped,0,8.45
4LnqNZNCr4LUHKBNdX9scFExFx9AnsvtqdgTz2dWutHiLP9Enp1sisD7QMREv83nuvtWUZfck1YK4EFCAvc2T4Di,[object Object],2025-05-20T15:21:27.000Z,49,2,5,42,233,255,22,Skipped,0,8.45
3dCctXBdmoX3ARMiu1VaFmARmjcDzLmyvQoWNzouX623DsqpkWyEoRM3ejxBUzhzwsYW15nYAkK5dYzig2KnJnrU,[object Object],2025-05-20T15:21:27.000Z,0,8,20,14,100,15,22,Partial Exit (Win),0.05,8.5
3spaEkeBN272c3Uga93NuKfcP7iVGPE2bHHW1HNntYwM2z3DUL1Y7v1S55TVcrKpLVYoBnehXdspPcqk7fjc91Sr,[object Object],2025-05-20T15:21:27.000Z,67,5,3,45,71,195,31,Partial Exit (Win),0.05,8.55
5aVQ61gkgPwco7NuWe5KKLUGENiMmxHLicQYm9GB6qd3TYfMNnkvCQiEmNgWT6eydqTgbb3NwrnRWDTBM2cw1yS,[object Object],2025-05-20T15:21:27.000Z,71,1,11,49,336,122,6,Skipped,0,8.55
